"Label (Grouping)","Total population 25 years and over with a Bachelor's degree or higher","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!Business","Total population 25 years and over with a Bachelor's degree or higher!!Education","Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"        Margin of Error","(X)","±1.5","±0.6","±1.3","±0.8","±1.2","","(X)","±2.8","±1.0","±2.7","±1.4","±2.7","(X)","±2.1","±0.9","±2.0","±1.1","±1.7","(X)","±2.2","±0.9","±2.4","±1.8","±1.8"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","512,582","113,377","78,617","96,335","112,781","111,472","","161,444","46,809","26,586","24,936","19,446","43,667","246,464","49,465","40,348","56,922","50,193","49,536","104,674","17,103","11,683","14,477","43,142","18,269"
"        Margin of Error","±10,798","±6,451","±5,835","±4,712","±5,818","±6,419","","±6,938","±4,037","±3,266","±2,665","±2,489","±4,628","±7,594","±4,423","±3,715","±3,705","±4,388","±4,233","±4,499","±2,108","±2,277","±1,783","±3,201","±1,961"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","22.1%","15.3%","18.8%","22.0%","21.7%","","(X)","29.0%","16.5%","15.4%","12.0%","27.0%","(X)","20.1%","16.4%","23.1%","20.4%","20.1%","(X)","16.3%","11.2%","13.8%","41.2%","17.5%"
"        Margin of Error","(X)","±1.1","±1.1","±0.9","±1.0","±1.2","","(X)","±2.3","±1.9","±1.5","±1.5","±2.5","(X)","±1.6","±1.4","±1.5","±1.7","±1.6","(X)","±1.8","±2.1","±1.7","±2.5","±1.8"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","159,290","66,711","18,128","19,877","19,714","34,860","","52,450","21,926","7,173","7,035","3,651","12,665","72,889","31,287","7,737","8,689","9,583","15,593","33,951","13,498","3,218","4,153","6,480","6,602"
"        Margin of Error","±6,063","±4,620","±2,301","±2,031","±2,314","±3,147","","±3,614","±2,500","±1,422","±1,571","±1,061","±1,921","±4,239","±3,311","±1,243","±1,583","±1,505","±1,880","±2,347","±1,631","±863","±933","±1,077","±1,235"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","41.9%","11.4%","12.5%","12.4%","21.9%","","(X)","41.8%","13.7%","13.4%","7.0%","24.1%","(X)","42.9%","10.6%","11.9%","13.1%","21.4%","(X)","39.8%","9.5%","12.2%","19.1%","19.4%"
"        Margin of Error","(X)","±2.2","±1.4","±1.2","±1.3","±1.9","","(X)","±3.7","±2.6","±2.8","±2.0","±3.4","(X)","±3.3","±1.6","±2.0","±2.0","±2.6","(X)","±3.9","±2.5","±2.6","±3.0","±3.3"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70,307","37,004","4,986","9,763","4,688","13,866","","20,395","10,821","1,371","2,856","612","4,735","33,312","17,357","2,643","4,167","2,841","6,304","16,600","8,826","972","2,740","1,235","2,827"
"        Margin of Error","±4,391","±3,517","±1,019","±1,573","±1,154","±1,844","","±2,328","±1,914","±491","±997","±460","±1,111","±2,963","±2,355","±781","±1,152","±866","±1,293","±1,600","±1,130","±419","±695","±438","±722"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","52.6%","7.1%","13.9%","6.7%","19.7%","","(X)","53.1%","6.7%","14.0%","3.0%","23.2%","(X)","52.1%","7.9%","12.5%","8.5%","18.9%","(X)","53.2%","5.9%","16.5%","7.4%","17.0%"
"        Margin of Error","(X)","±3.0","±1.5","±2.1","±1.6","±2.5","","(X)","±6.2","±2.4","±4.6","±2.2","±5.3","(X)","±4.4","±2.3","±3.2","±2.5","±3.9","(X)","±4.8","±2.5","±3.7","±2.5","±4.0"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,983","29,707","13,142","10,114","15,026","20,994","","32,055","11,105","5,802","4,179","3,039","7,930","39,577","13,930","5,094","4,522","6,742","9,289","17,351","4,672","2,246","1,413","5,245","3,775"
"        Margin of Error","±3,902","±2,817","±1,933","±1,512","±1,813","±2,517","","±2,619","±1,743","±1,256","±1,107","±885","±1,507","±2,612","±1,836","±946","±1,020","±1,148","±1,572","±1,592","±954","±790","±529","±960","±905"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.4%","14.8%","11.4%","16.9%","23.6%","","(X)","34.6%","18.1%","13.0%","9.5%","24.7%","(X)","35.2%","12.9%","11.4%","17.0%","23.5%","(X)","26.9%","12.9%","8.1%","30.2%","21.8%"
"        Margin of Error","(X)","±2.7","±2.0","±1.6","±1.9","±2.8","","(X)","±4.4","±3.5","±3.1","±2.8","±4.7","(X)","±4.1","±2.3","±2.3","±2.9","±3.5","(X)","±4.9","±4.1","±3.1","±5.0","±4.8"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,615,081","553,634","174,302","337,282","200,682","349,181","","490,222","178,858","54,552","93,545","41,088","122,179","693,912","236,685","75,251","164,691","71,634","145,651","430,947","138,091","44,499","79,046","87,960","81,351"
"        Margin of Error","±21,040","±13,104","±8,489","±9,345","±7,698","±10,476","","±12,699","±7,191","±4,661","±5,424","±3,703","±7,167","±13,735","±10,715","±4,701","±6,436","±4,359","±7,129","±8,990","±5,467","±3,758","±4,014","±4,882","±4,399"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","34.3%","10.8%","20.9%","12.4%","21.6%","","(X)","36.5%","11.1%","19.1%","8.4%","24.9%","(X)","34.1%","10.8%","23.7%","10.3%","21.0%","(X)","32.0%","10.3%","18.3%","20.4%","18.9%"
"        Margin of Error","(X)","±0.7","±0.5","±0.5","±0.4","±0.6","","(X)","±1.3","±0.9","±1.0","±0.7","±1.2","(X)","±1.2","±0.7","±0.9","±0.6","±1.0","(X)","±1.0","±0.9","±0.8","±1.0","±0.9"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","791,577","340,397","57,402","193,367","47,520","152,891","","226,271","97,483","18,179","51,068","7,992","51,549","335,310","142,795","23,071","88,074","15,084","66,286","229,996","100,119","16,152","54,225","24,444","35,056"
"        Margin of Error","±13,437","±9,180","±4,118","±6,843","±3,624","±6,493","","±7,914","±5,596","±2,592","±3,555","±1,555","±4,123","±8,727","±7,339","±2,519","±4,889","±2,028","±4,707","±5,798","±4,343","±1,842","±3,207","±2,648","±2,462"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","43.0%","7.3%","24.4%","6.0%","19.3%","","(X)","43.1%","8.0%","22.6%","3.5%","22.8%","(X)","42.6%","6.9%","26.3%","4.5%","19.8%","(X)","43.5%","7.0%","23.6%","10.6%","15.2%"
"        Margin of Error","(X)","±0.8","±0.5","±0.8","±0.4","±0.8","","(X)","±1.9","±1.1","±1.4","±0.7","±1.7","(X)","±1.8","±0.7","±1.4","±0.6","±1.3","(X)","±1.5","±0.8","±1.3","±1.1","±1.0"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","823,504","213,237","116,900","143,915","153,162","196,290","","263,951","81,375","36,373","42,477","33,096","70,630","358,602","93,890","52,180","76,617","56,550","79,365","200,951","37,972","28,347","24,821","63,516","46,295"
"        Margin of Error","±13,266","±8,649","±6,796","±6,228","±6,648","±8,311","","±8,296","±5,125","±3,700","±3,672","±2,988","±5,269","±9,154","±6,083","±4,113","±4,749","±4,120","±4,877","±5,242","±2,893","±3,165","±2,445","±3,433","±3,324"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","25.9%","14.2%","17.5%","18.6%","23.8%","","(X)","30.8%","13.8%","16.1%","12.5%","26.8%","(X)","26.2%","14.6%","21.4%","15.8%","22.1%","(X)","18.9%","14.1%","12.4%","31.6%","23.0%"
"        Margin of Error","(X)","±1.0","±0.8","±0.7","±0.7","±0.9","","(X)","±1.8","±1.4","±1.3","±1.1","±1.7","(X)","±1.5","±1.1","±1.2","±1.1","±1.3","(X)","±1.3","±1.5","±1.1","±1.5","±1.6"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","515,034","144,678","62,689","108,406","91,300","107,961","","159,425","50,091","23,433","29,562","17,101","39,238","233,578","66,126","29,012","54,466","36,156","47,818","122,031","28,461","10,244","24,378","38,043","20,905"
"        Margin of Error","±11,438","±7,074","±4,517","±6,080","±5,650","±5,521","","±7,658","±4,713","±2,993","±3,326","±2,714","±3,256","±7,558","±4,669","±2,790","±4,272","±3,293","±4,657","±5,017","±2,184","±1,619","±2,497","±3,222","±2,047"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","28.1%","12.2%","21.0%","17.7%","21.0%","","(X)","31.4%","14.7%","18.5%","10.7%","24.6%","(X)","28.3%","12.4%","23.3%","15.5%","20.5%","(X)","23.3%","8.4%","20.0%","31.2%","17.1%"
"        Margin of Error","(X)","±1.2","±0.8","±1.0","±1.0","±1.0","","(X)","±2.4","±1.8","±1.8","±1.6","±1.9","(X)","±1.8","±1.2","±1.6","±1.4","±1.8","(X)","±1.6","±1.3","±2.0","±2.1","±1.5"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","234,196","86,667","17,793","59,938","20,023","49,775","","69,621","25,913","6,574","15,511","3,229","18,394","105,618","40,869","8,569","26,337","8,037","21,806","58,957","19,885","2,650","18,090","8,757","9,575"
"        Margin of Error","±6,660","±4,915","±2,431","±4,320","±2,529","±3,830","","±4,203","±2,836","±1,654","±2,268","±1,110","±2,350","±4,906","±3,771","±1,465","±3,122","±1,764","±2,792","±3,123","±1,787","±725","±2,122","±1,332","±1,339"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","37.0%","7.6%","25.6%","8.5%","21.3%","","(X)","37.2%","9.4%","22.3%","4.6%","26.4%","(X)","38.7%","8.1%","24.9%","7.6%","20.6%","(X)","33.7%","4.5%","30.7%","14.9%","16.2%"
"        Margin of Error","(X)","±1.8","±1.0","±1.7","±1.0","±1.6","","(X)","±3.1","±2.2","±3.1","±1.6","±3.1","(X)","±3.1","±1.4","±2.6","±1.6","±2.5","(X)","±2.6","±1.2","±3.0","±2.2","±2.1"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","280,838","58,011","44,896","48,468","71,277","58,186","","89,804","24,178","16,859","14,051","13,872","20,844","127,960","25,257","20,443","28,129","28,119","26,012","63,074","8,576","7,594","6,288","29,286","11,330"
"        Margin of Error","±7,832","±5,152","±3,810","±3,816","±4,827","±4,156","","±5,358","±3,235","±2,558","±2,088","±2,313","±2,309","±5,528","±2,807","±2,329","±3,296","±2,799","±3,196","±3,432","±1,334","±1,347","±1,229","±2,721","±1,559"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20.7%","16.0%","17.3%","25.4%","20.7%","","(X)","26.9%","18.8%","15.6%","15.4%","23.2%","(X)","19.7%","16.0%","22.0%","22.0%","20.3%","(X)","13.6%","12.0%","10.0%","46.4%","18.0%"
"        Margin of Error","(X)","±1.8","±1.3","±1.2","±1.6","±1.4","","(X)","±3.1","±2.5","±2.0","±2.4","±2.6","(X)","±2.1","±1.7","±2.1","±2.2","±2.2","(X)","±2.1","±2.0","±1.9","±3.2","±2.4"
"California","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,737,817","4,145,461","800,629","1,726,663","546,699","2,518,365","","3,452,634","1,574,185","276,836","566,499","99,796","935,318","4,310,980","1,794,518","352,506","851,904","207,787","1,104,265","1,974,203","776,758","171,287","308,260","239,116","478,782"
"        Margin of Error","±45,424","±34,319","±15,617","±23,603","±13,011","±27,814","","±27,221","±19,445","±9,495","±12,773","±5,963","±18,260","±34,985","±22,150","±12,059","±18,141","±8,617","±18,456","±18,160","±14,128","±6,711","±9,176","±7,004","±9,193"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","42.6%","8.2%","17.7%","5.6%","25.9%","","(X)","45.6%","8.0%","16.4%","2.9%","27.1%","(X)","41.6%","8.2%","19.8%","4.8%","25.6%","(X)","39.3%","8.7%","15.6%","12.1%","24.3%"
"        Margin of Error","(X)","±0.3","±0.2","±0.2","±0.1","±0.2","","(X)","±0.4","±0.3","±0.4","±0.2","±0.5","(X)","±0.4","±0.3","±0.4","±0.2","±0.4","(X)","±0.6","±0.3","±0.4","±0.3","±0.5"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,718,758","2,404,681","248,039","905,976","124,062","1,036,000","","1,613,914","840,282","81,648","295,358","19,770","376,856","2,095,051","1,048,600","111,111","420,449","50,186","464,705","1,009,793","515,799","55,280","190,169","54,106","194,439"
"        Margin of Error","±28,982","±22,737","±6,948","±15,051","±6,370","±17,609","","±18,072","±13,979","±4,979","±9,420","±2,677","±10,708","±23,253","±13,739","±5,483","±11,357","±4,638","±13,107","±13,487","±11,438","±3,588","±6,757","±3,622","±6,778"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","51.0%","5.3%","19.2%","2.6%","22.0%","","(X)","52.1%","5.1%","18.3%","1.2%","23.4%","(X)","50.1%","5.3%","20.1%","2.4%","22.2%","(X)","51.1%","5.5%","18.8%","5.4%","19.3%"
"        Margin of Error","(X)","±0.4","±0.1","±0.3","±0.1","±0.3","","(X)","±0.7","±0.3","±0.6","±0.2","±0.6","(X)","±0.6","±0.3","±0.5","±0.2","±0.5","(X)","±0.9","±0.4","±0.6","±0.4","±0.6"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,019,059","1,740,780","552,590","820,687","422,637","1,482,365","","1,838,720","733,903","195,188","271,141","80,026","558,462","2,215,929","745,918","241,395","431,455","157,601","639,560","964,410","260,959","116,007","118,091","185,010","284,343"
"        Margin of Error","±28,341","±21,035","±13,559","±14,965","±11,090","±20,574","","±18,455","±12,944","±8,194","±9,048","±5,909","±14,117","±20,816","±16,102","±9,688","±12,999","±7,087","±12,680","±10,527","±7,542","±5,454","±5,466","±5,757","±7,557"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","34.7%","11.0%","16.4%","8.4%","29.5%","","(X)","39.9%","10.6%","14.7%","4.4%","30.4%","(X)","33.7%","10.9%","19.5%","7.1%","28.9%","(X)","27.1%","12.0%","12.2%","19.2%","29.5%"
"        Margin of Error","(X)","±0.4","±0.3","±0.3","±0.2","±0.3","","(X)","±0.6","±0.4","±0.5","±0.3","±0.7","(X)","±0.6","±0.4","±0.6","±0.3","±0.5","(X)","±0.7","±0.5","±0.5","±0.6","±0.8"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,796,240","728,195","147,189","350,621","161,974","408,261","","642,989","277,532","55,971","114,536","34,414","160,536","801,903","321,301","61,642","179,886","60,782","178,292","351,348","129,362","29,576","56,199","66,778","69,433"
"        Margin of Error","±16,888","±14,988","±7,326","±9,027","±6,098","±9,134","","±11,456","±8,791","±4,233","±6,081","±3,320","±6,424","±10,687","±8,752","±4,440","±5,994","±4,496","±6,249","±6,553","±5,477","±2,159","±3,039","±2,798","±4,102"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","40.5%","8.2%","19.5%","9.0%","22.7%","","(X)","43.2%","8.7%","17.8%","5.4%","25.0%","(X)","40.1%","7.7%","22.4%","7.6%","22.2%","(X)","36.8%","8.4%","16.0%","19.0%","19.8%"
"        Margin of Error","(X)","±0.7","±0.4","±0.5","±0.3","±0.5","","(X)","±1.1","±0.6","±0.9","±0.5","±1.0","(X)","±0.9","±0.5","±0.7","±0.5","±0.7","(X)","±1.2","±0.6","±0.9","±0.8","±1.1"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","872,267","422,272","35,205","200,531","39,026","175,233","","302,183","149,740","12,396","61,030","8,260","70,757","386,163","182,685","15,327","98,062","13,387","76,702","183,921","89,847","7,482","41,439","17,379","27,774"
"        Margin of Error","±11,520","±10,770","±3,539","±6,445","±3,457","±6,376","","±8,065","±7,106","±2,024","±4,391","±1,779","±4,630","±8,044","±6,254","±2,315","±4,590","±1,889","±4,320","±4,890","±4,654","±1,055","±2,620","±1,928","±2,367"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","48.4%","4.0%","23.0%","4.5%","20.1%","","(X)","49.6%","4.1%","20.2%","2.7%","23.4%","(X)","47.3%","4.0%","25.4%","3.5%","19.9%","(X)","48.9%","4.1%","22.5%","9.4%","15.1%"
"        Margin of Error","(X)","±1.0","±0.4","±0.7","±0.4","±0.7","","(X)","±1.8","±0.7","±1.3","±0.6","±1.5","(X)","±1.2","±0.6","±1.1","±0.5","±1.0","(X)","±1.9","±0.6","±1.4","±1.0","±1.3"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","923,973","305,923","111,984","150,090","122,948","233,028","","340,806","127,792","43,575","53,506","26,154","89,779","415,740","138,616","46,315","81,824","47,395","101,590","167,427","39,515","22,094","14,760","49,399","41,659"
"        Margin of Error","±10,782","±9,527","±5,857","±6,275","±5,581","±7,454","","±6,885","±4,955","±3,447","±3,804","±2,703","±4,996","±7,684","±6,830","±3,675","±4,227","±3,855","±4,540","±4,200","±2,627","±1,919","±1,690","±2,898","±3,067"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.1%","12.1%","16.2%","13.3%","25.2%","","(X)","37.5%","12.8%","15.7%","7.7%","26.3%","(X)","33.3%","11.1%","19.7%","11.4%","24.4%","(X)","23.6%","13.2%","8.8%","29.5%","24.9%"
"        Margin of Error","(X)","±0.9","±0.6","±0.7","±0.6","±0.8","","(X)","±1.5","±1.0","±1.0","±0.7","±1.3","(X)","±1.3","±0.9","±1.0","±0.9","±1.1","(X)","±1.4","±1.2","±1.0","±1.6","±1.6"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,067,671","393,266","87,538","217,177","103,748","265,942","","319,259","130,717","27,563","61,384","17,753","81,842","516,277","184,375","39,827","120,996","44,417","126,662","232,135","78,174","20,148","34,797","41,578","57,438"
"        Margin of Error","±14,772","±9,480","±5,208","±8,495","±4,768","±8,716","","±7,628","±5,756","±2,548","±4,708","±2,252","±4,914","±10,404","±7,264","±3,326","±5,983","±3,831","±6,462","±6,742","±4,297","±2,186","±2,536","±3,196","±3,648"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","36.8%","8.2%","20.3%","9.7%","24.9%","","(X)","40.9%","8.6%","19.2%","5.6%","25.6%","(X)","35.7%","7.7%","23.4%","8.6%","24.5%","(X)","33.7%","8.7%","15.0%","17.9%","24.7%"
"        Margin of Error","(X)","±0.8","±0.5","±0.7","±0.5","±0.7","","(X)","±1.5","±0.8","±1.3","±0.7","±1.4","(X)","±1.3","±0.6","±1.1","±0.7","±1.1","(X)","±1.6","±0.9","±1.0","±1.4","±1.4"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","496,618","218,595","21,023","122,190","22,714","112,096","","143,110","63,162","6,653","33,225","4,165","35,905","237,146","104,052","10,015","63,239","9,608","50,232","116,362","51,381","4,355","25,726","8,941","25,959"
"        Margin of Error","±9,077","±7,116","±2,766","±5,449","±2,514","±5,632","","±5,322","±3,767","±1,695","±3,159","±1,242","±3,331","±6,320","±4,804","±1,729","±3,980","±1,747","±3,353","±3,909","±2,978","±849","±2,230","±1,534","±2,636"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","44.0%","4.2%","24.6%","4.6%","22.6%","","(X)","44.1%","4.6%","23.2%","2.9%","25.1%","(X)","43.9%","4.2%","26.7%","4.1%","21.2%","(X)","44.2%","3.7%","22.1%","7.7%","22.3%"
"        Margin of Error","(X)","±1.2","±0.5","±1.0","±0.5","±1.1","","(X)","±2.3","±1.1","±2.1","±0.9","±2.0","(X)","±1.8","±0.7","±1.5","±0.7","±1.3","(X)","±2.1","±0.7","±1.7","±1.3","±2.2"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","571,053","174,671","66,515","94,987","81,034","153,846","","176,149","67,555","20,910","28,159","13,588","45,937","279,131","80,323","29,812","57,757","34,809","76,430","115,773","26,793","15,793","9,071","32,637","31,479"
"        Margin of Error","±9,091","±5,342","±4,293","±5,141","±3,958","±5,888","","±5,149","±4,010","±2,344","±2,818","±1,952","±2,864","±6,040","±4,375","±2,555","±4,287","±2,998","±4,635","±4,228","±2,493","±1,894","±1,209","±2,596","±2,557"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","30.6%","11.6%","16.6%","14.2%","26.9%","","(X)","38.4%","11.9%","16.0%","7.7%","26.1%","(X)","28.8%","10.7%","20.7%","12.5%","27.4%","(X)","23.1%","13.6%","7.8%","28.2%","27.2%"
